2026-07-31 12:52:39,494 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:52:51,750 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:52:53,029 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:53:44,875 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:53:46,796 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:55:11,908 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:55:12,180 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:55:23,503 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:55:44,134 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 12:55:45,886 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
